standard_count,total_CB_count,total_test_count,1 (60950-1),Lab. AH,Lab_AH_log
1,1,26,0,3.044522437723423,1.3973634811730353
1,1,17,0,0.2231435513142098,0.20142422619816863
1,0,7,0,3.032546246676707,1.3943979994391784
1,0,7,0,3.032546246676707,1.3943979994391784
1,0,2,0,3.020424886144363,1.3913875901165478
1,0,21,0,3.020424886144363,1.3913875901165478
1,0,21,0,3.020424886144363,1.3913875901165478
1,0,3,1,3.817712325956905,1.572299194223463
1,1,13,0,0.0,0.0
1,1,12,0,0.0,0.0
3,1,15,0,4.852030263919617,1.7667886546960463
1,0,1,0,3.332204510175204,1.4660765372061442
2,1,12,0,3.83945231259331,1.5768015557705268
1,1,11,0,2.957511060733793,1.3756153076481625
2,1,15,0,0.0,0.0
1,1,25,0,2.94443897916644,1.372306733580753
2,1,15,0,4.844187086458591,1.765447506801529
2,1,16,0,3.610917912644224,1.5284269505599697
1,0,4,0,3.258096538021482,1.448822238365871
1,1,5,0,3.401197381662155,1.48187663609891
1,1,11,0,0.0,0.0
1,1,11,0,0.0,0.0
2,1,14,0,3.886705197443856,1.5865182926386805
1,1,9,0,0.0,0.0
2,1,0,0,2.890371757896165,1.358504720646626
1,0,4,0,3.218875824868201,1.4395687003478859
1,1,8,0,1.386294361119891,0.869741686191944
1,1,11,0,0.0,0.0
1,0,11,0,0.0,0.0
1,0,0,0,2.876385515921425,1.3549031513945011
1,1,5,0,2.862200880929469,1.3512371973945323
1,1,0,0,0.0,0.0
1,1,8,0,4.204692619390966,1.6495606454510718
1,1,5,0,3.178053830347946,1.4298455472897516
1,1,0,0,0.009950330853168083,0.009901152270820517
3,1,1,0,2.862200880929469,1.3512371973945323
2,0,0,0,3.008154793552548,1.3883309841826317
1,0,5,1,3.305053521109253,1.4597895701158288
1,0,6,1,0.0,0.0
1,1,0,0,0.0,0.0
1,1,9,0,0.0,0.0
1,1,11,0,4.248495242049359,1.6579414149579819
1,1,16,0,3.58351893845611,1.5224670302876946
2,1,2,0,2.833213344056216,1.3437034446606386
1,0,3,0,0.0,0.0
1,1,11,0,0.0,0.0
1,1,2,0,3.218875824868201,1.4395687003478859
1,1,3,0,3.13549421592915,1.4196068415100236
1,1,0,0,2.70805020110221,1.3105061862047918
1,1,2,0,3.102342008612249,1.4115580322380425
2,1,4,0,2.442347035369204,1.23615351646328
3,1,12,0,2.674148649426529,1.3013214458074807
1,1,3,0,0.0,0.0
1,1,13,0,3.688879454113936,1.5451936315479267
1,1,0,0,0.0,0.0
2,1,11,0,3.58351893845611,1.5224670302876946
3,1,3,0,0.0,0.0
2,1,14,0,3.23867845216438,1.444251534849461
1,1,0,0,0.009950330853168083,0.009901152270820517
1,1,4,0,0.009950330853168083,0.009901152270820517
1,0,0,0,0.0,0.0
2,1,9,0,0.0,0.0
1,1,5,0,0.0,0.0
